"type","region","language_pair_collapsed","percent_bilingual_children_age_0_to_4","percent_bilingual_children_age_5_to_9","percent_bilingual_children_age_0_to_9","percent_all_children_age_0_to_4","percent_all_children_age_5_to_9","percent_all_children_age_0_to_9","province","area","order_by_type"
"cma","Ottawa","English  &  French",45.6,52.4,49.8,12.7,22.2,17.6,"Ontario","Ottawa",NA
"cma","Ottawa","English  &  Arabic",8.4,7.3,7.7,2.3,3.1,2.7,"Ontario","Ottawa",NA
"cma","Ottawa","English & Other",34.5,28.9,31,9.6,12.2,11,"Ontario","Ottawa",NA
"cma","Ottawa","French & Other",11.1,11.1,11.1,3.1,4.7,3.9,"Ontario","Ottawa",NA
"cma","Ottawa","Other  &  Other",0.5,0.3,0.4,0.1,0.1,0.1,"Ontario","Ottawa",NA
"cma","St. Catharines – Niagara","English  &  French",30.8,39.1,35.9,2.3,4.7,3.5,"Ontario","St. Catharines – Niagara",NA
"cma","St. Catharines – Niagara","English & Other",66.7,56.2,60.2,5.1,6.8,5.9,"Ontario","St. Catharines – Niagara",NA
"cma","St. Catharines – Niagara","French & Other",NA,3.1,1.9,NA,0.4,0.2,"Ontario","St. Catharines – Niagara",NA
"cma","St. Catharines – Niagara","Other  &  Other",2.6,1.6,1.9,0.2,0.2,0.2,"Ontario","St. Catharines – Niagara",NA
"cma","Toronto","English  &  French",5.8,10.5,8.6,1.5,3.7,2.6,"Ontario","Toronto",NA
"cma","Toronto","English  &  Urdu",6.7,7.4,7.1,1.7,2.6,2.2,"Ontario","Toronto",NA
"cma","Toronto","English  &  Punjabi",6.3,6.7,6.5,1.6,2.3,2,"Ontario","Toronto",NA
"cma","Toronto","English  &  Mandarin",6.5,5.7,6,1.7,2,1.8,"Ontario","Toronto",NA
"cma","Toronto","English  &  Tamil",4.9,4.1,4.4,1.3,1.4,1.4,"Ontario","Toronto",NA
"cma","Toronto","English & Other",66.5,61.1,63.3,17.1,21.3,19.3,"Ontario","Toronto",NA
"cma","Toronto","French & Other",1.8,3.2,2.6,0.5,1.1,0.8,"Ontario","Toronto",NA
"cma","Toronto","Other  &  Other",1.4,1.3,1.3,0.4,0.4,0.4,"Ontario","Toronto",NA
"cma","Windsor","English  &  French",18.2,37.5,30.5,3.1,10.3,6.9,"Ontario","Windsor",NA
"cma","Windsor","English  &  Arabic",10.4,10.3,10.3,1.8,2.8,2.3,"Ontario","Windsor",NA
"cma","Windsor","English & Other",67.5,46.3,54,11.7,12.8,12.2,"Ontario","Windsor",NA
"cma","Windsor","French & Other",2.6,4.4,3.8,0.4,1.2,0.9,"Ontario","Windsor",NA
"cma","Windsor","Other  &  Other",1.3,1.5,1.4,0.2,0.4,0.3,"Ontario","Windsor",NA
"cma","Winnipeg","English  &  French",20.5,20.9,20.7,3.4,4.2,3.8,"Manitoba","Winnipeg",NA
"cma","Winnipeg","English  &  Tagalog",15.4,12.3,13.7,2.6,2.5,2.5,"Manitoba","Winnipeg",NA
"cma","Winnipeg","English  &  Punjabi",7.7,6.8,7.2,1.3,1.4,1.3,"Manitoba","Winnipeg",NA
"cma","Winnipeg","English & Other",53.3,55.7,54.7,8.9,11.3,10.1,"Manitoba","Winnipeg",NA
"cma","Winnipeg","Other  &  Other",2.1,2.1,2.1,0.3,0.4,0.4,"Manitoba","Winnipeg",NA
"cma","Winnipeg","French & Other",1,2.1,1.6,0.2,0.4,0.3,"Manitoba","Winnipeg",NA
"cma","Regina – Saskatoon","English  &  French",4.2,20.8,14.6,0.5,3.5,2,"Saskatchewan","Regina – Saskatoon",NA
"cma","Regina – Saskatoon","English  &  Urdu",11.6,11.3,11.4,1.2,1.9,1.6,"Saskatchewan","Regina – Saskatoon",NA
"cma","Regina – Saskatoon","English  &  Tagalog",10.5,9.4,9.8,1.1,1.6,1.4,"Saskatchewan","Regina – Saskatoon",NA
"cma","Regina – Saskatoon","English & Other",68.4,55.3,60.2,7.3,9.3,8.3,"Saskatchewan","Regina – Saskatoon",NA
"cma","Regina – Saskatoon","French & Other",2.1,1.9,2,0.2,0.3,0.3,"Saskatchewan","Regina – Saskatoon",NA
"cma","Regina – Saskatoon","Other  &  Other",3.2,1.3,2,0.3,0.2,0.3,"Saskatchewan","Regina – Saskatoon",NA
"cma","Calgary","English  &  French",6.2,15,11.5,1.1,3.8,2.5,"Alberta","Calgary",NA
"cma","Calgary","English  &  Punjabi",7.6,8.8,8.4,1.4,2.2,1.8,"Alberta","Calgary",NA
"cma","Calgary","English  &  Urdu",7.6,5.4,6.3,1.4,1.4,1.4,"Alberta","Calgary",NA
"cma","Calgary","English & Other",74.9,66.4,69.8,13.3,16.8,15.1,"Alberta","Calgary",NA
"cma","Calgary","French & Other",1.7,2.7,2.3,0.3,0.7,0.5,"Alberta","Calgary",NA
"cma","Calgary","Other  &  Other",1.9,1.7,1.8,0.3,0.4,0.4,"Alberta","Calgary",NA
"cma","Edmonton","English  &  French",7.8,14.3,11.2,1.4,2.9,2.1,"Alberta","Edmonton",NA
"cma","Edmonton","English  &  Arabic",8,8.3,8.2,1.4,1.7,1.5,"Alberta","Edmonton",NA
"cma","Edmonton","English  &  Tagalog",7.8,5.2,6.4,1.4,1.1,1.2,"Alberta","Edmonton",NA
"cma","Edmonton","English & Other",72.7,69.5,71.1,12.8,14.2,13.5,"Alberta","Edmonton",NA
"cma","Edmonton","French & Other",2.4,1.8,2.1,0.4,0.4,0.4,"Alberta","Edmonton",NA
"cma","Edmonton","Other  &  Other",1.2,0.9,1.1,0.2,0.2,0.2,"Alberta","Edmonton",NA
"cma","Kelowna – Abbotsford","English  &  Punjabi",44.8,54.4,50,6,7.9,7,"British Columbia","Kelowna – Abbotsford",NA
"cma","Kelowna – Abbotsford","English  &  French",10.4,16.5,13.7,1.4,2.4,1.9,"British Columbia","Kelowna – Abbotsford",NA
"cma","Kelowna – Abbotsford","English & Other",43.3,29.1,35.6,5.8,4.2,5,"British Columbia","Kelowna – Abbotsford",NA
"cma","Kelowna – Abbotsford","French & Other",1.5,NA,0.7,0.2,NA,0.1,"British Columbia","Kelowna – Abbotsford",NA
"cma","Vancouver","English  &  Mandarin",16.4,10.9,13.3,4.2,3.5,3.8,"British Columbia","Vancouver",NA
"cma","Vancouver","English  &  Punjabi",10.7,13.7,12.4,2.7,4.4,3.6,"British Columbia","Vancouver",NA
"cma","Vancouver","English  &  French",4.4,10.5,7.9,1.1,3.3,2.3,"British Columbia","Vancouver",NA
"cma","Vancouver","English  &  Cantonese",7.4,6.1,6.6,1.9,1.9,1.9,"British Columbia","Vancouver",NA
"cma","Vancouver","English & Other",57.6,55.6,56.5,14.6,17.7,16.2,"British Columbia","Vancouver",NA
"cma","Vancouver","Other  &  Other",2.5,1.2,1.8,0.6,0.4,0.5,"British Columbia","Vancouver",NA
"cma","Vancouver","French & Other",1,2,1.6,0.3,0.6,0.4,"British Columbia","Vancouver",NA
"cma","Victoria","English  &  French",16.7,48.3,34.3,1.9,6.6,4.2,"British Columbia","Victoria",NA
"cma","Victoria","English & Other",77.1,48.3,61.1,8.6,6.6,7.6,"British Columbia","Victoria",NA
"cma","Victoria","French & Other",4.2,3.3,3.7,0.5,0.5,0.5,"British Columbia","Victoria",NA
"cma","Victoria","Other  &  Other",2.1,NA,0.9,0.2,NA,0.1,"British Columbia","Victoria",NA
"province","Newfoundland and Labrador","English & French",13,48.4,33.3,0.5,2.1,1.4,"Newfoundland and Labrador",NA,1
"province","Newfoundland and Labrador","English & Other",82.6,45.2,61.1,3.2,1.9,2.5,"Newfoundland and Labrador",NA,2
"province","Newfoundland and Labrador","French & Other",4.3,3.2,3.7,0.2,0.1,0.2,"Newfoundland and Labrador",NA,2
"province","Newfoundland and Labrador","Other & Other",NA,3.2,1.9,NA,0.1,0.1,"Newfoundland and Labrador",NA,2
"province","Prince Edward Island","English & French",57.1,76.9,70,4,10.6,7.2,"Prince Edward Island",NA,1
"province","Prince Edward Island","English & Mandarin",14.3,7.7,10,1,1.1,1,"Prince Edward Island",NA,1
"province","Prince Edward Island","English & Other",21.4,11.5,15,1.5,1.6,1.5,"Prince Edward Island",NA,2
"province","Prince Edward Island","French & Other",7.1,3.8,5,0.5,0.5,0.5,"Prince Edward Island",NA,2
"province","Nova Scotia","English & French",36.5,56.5,49,2.3,5.7,4.1,"Nova Scotia",NA,1
"province","Nova Scotia","English & Arabic",16.2,6.5,10.1,1,0.7,0.8,"Nova Scotia",NA,1
"province","Nova Scotia","English & Other",41.9,33.1,36.4,2.7,3.3,3,"Nova Scotia",NA,2
"province","Nova Scotia","French & Other",5.4,4,4.5,0.3,0.4,0.4,"Nova Scotia",NA,2
"province","New Brunswick","English & French",76.3,79.3,78.2,7.9,13.1,10.6,"New Brunswick",NA,1
"province","New Brunswick","English & Other",20.6,16.5,18,2.1,2.7,2.4,"New Brunswick",NA,2
"province","New Brunswick","French & Other",3.1,4.3,3.8,0.3,0.7,0.5,"New Brunswick",NA,2
"province","Quebec","English & French",38.7,40.7,39.8,7.7,9.9,8.9,"Quebec",NA,1
"province","Quebec","French & Arabic",9.5,8.9,9.2,1.9,2.2,2,"Quebec",NA,1
"province","Quebec","French & Spanish",5.7,4.9,5.3,1.1,1.2,1.2,"Quebec",NA,1
"province","Quebec","Indigenous Languages & English",1.3,1.8,1.6,0.3,0.4,0.4,"Quebec",NA,1
"province","Quebec","Indigenous Languages & French",0.8,0.9,0.8,0.2,0.2,0.2,"Quebec",NA,1
"province","Quebec","French & Other",25.9,26.5,26.2,5.2,6.4,5.8,"Quebec",NA,2
"province","Quebec","English & Other",17.7,16,16.8,3.5,3.9,3.7,"Quebec",NA,2
"province","Quebec","Other & Other",0.5,0.2,0.3,0.1,0,0.1,"Quebec",NA,2
"province","Ontario","English & French",16.9,24.9,21.7,3,6.4,4.8,"Ontario",NA,1
"province","Ontario","English & Urdu",5.1,5.4,5.3,0.9,1.4,1.2,"Ontario",NA,1
"province","Ontario","English & Mandarin",5.2,4.1,4.5,0.9,1.1,1,"Ontario",NA,1
"province","Ontario","English & Punjabi",4.5,4.5,4.5,0.8,1.1,1,"Ontario",NA,1
"province","Ontario","English & Arabic",4.3,4.2,4.2,0.8,1.1,0.9,"Ontario",NA,1
"province","Ontario","English & Spanish",3.8,2.8,3.2,0.7,0.7,0.7,"Ontario",NA,1
"province","Ontario","English & Tamil",3.2,2.6,2.9,0.6,0.7,0.6,"Ontario",NA,1
"province","Ontario","Indigenous Languages & English",0.3,0.2,0.3,0.1,0.1,0.1,"Ontario",NA,1
"province","Ontario","English & Other",52.6,46.1,48.7,9.5,11.8,10.7,"Ontario",NA,2
"province","Ontario","French & Other",3,4.2,3.7,0.5,1.1,0.8,"Ontario",NA,2
"province","Ontario","Other & Other",1.1,0.9,1,0.2,0.2,0.2,"Ontario",NA,2
"province","Manitoba","English & French",17.5,20.3,19.2,2.3,3.8,3.1,"Manitoba",NA,1
"province","Manitoba","English & Tagalog",11.7,8.2,9.6,1.5,1.5,1.5,"Manitoba",NA,1
"province","Manitoba","Indigenous Languages & English",7.7,8.4,8.1,1,1.6,1.3,"Manitoba",NA,1
"province","Manitoba","English & German",5.5,6.9,6.3,0.7,1.3,1,"Manitoba",NA,1
"province","Manitoba","English & Punjabi",5.8,4.2,4.9,0.8,0.8,0.8,"Manitoba",NA,1
